symbol,name,type,is_active
AAPL,,STOCK,true
AMZN,,STOCK,true
ARKK,,ETF,true
AVGO,,STOCK,true
BRK.B,,STOCK,true
COST,,STOCK,true
CRM,,STOCK,true
DIA,,ETF,true
DIS,,STOCK,true
GLD,,ETF,true
GOOGL,,STOCK,true
HD,,STOCK,true
HYG,,ETF,true
IVV,,ETF,true
IWM,,ETF,true
JNJ,,STOCK,true
JPM,,STOCK,true
KO,,STOCK,true
LQD,,ETF,true
MA,,STOCK,true
META,,STOCK,true
MSFT,,STOCK,true
NFLX,,STOCK,true
NKE,,STOCK,true
NVDA,,STOCK,true
PEP,,STOCK,true
PG,,STOCK,true
QQQ,,ETF,true
SCHD,,ETF,true
SHY,,ETF,true
SLV,,ETF,true
SPY,,ETF,true
TLT,,ETF,true
TSLA,,STOCK,true
UNH,,STOCK,true
V,,STOCK,true
VIG,,ETF,true
VOO,,ETF,true
VT,,ETF,true
VTI,,ETF,true
WMT,,STOCK,true
XLE,,ETF,true
XLF,,ETF,true
XLI,,ETF,true
XLK,,ETF,true
XLP,,ETF,true
XLU,,ETF,true
XLV,,ETF,true
XLY,,ETF,true
XOM,,STOCK,true
