CCT,Plantel,Subnivel,Subsistema,Municipio,Localidad,Colonia/Asentamiento,Calle,NumExt,Sostenimiento,Dependencia,Dominio (institucional público),Fuente (si aplica)
22MMS0283P,ACADEMIA CASA HOGAR SOR JUANA INÉS DE LA CRUZ A.C.,BACHILLERATO GENERAL,PRIVADO,CADEREYTA DE MONTES,CADEREYTA DE MONTES,,CALLE AQUILES SERDAN,6.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0287L,PREPARATORIA CENTRO ESCOLAR CADEREYTA,BACHILLERATO GENERAL,PRIVADO,CADEREYTA DE MONTES,CADEREYTA DE MONTES,FUENTES Y PUEBLO NUEVO,CALLE H. COLEGIO MILITAR,12.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0286M,PREPA CEICKOR,BACHILLERATO GENERAL,PRIVADO,COLÓN,COLÓN,SANTA MARTHA FRACCION DE LA TRINIDAD,DOMICILIO CONOCIDO,,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0161E,BACHILLERATO CARL ROGERS,BACHILLERATO GENERAL,PRIVADO,CORREGIDORA,EL PUEBLITO,,CALLE MIGUEL HIDALGO,108.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0218P,BACHILLERATO UGM QUERETARO,BACHILLERATO GENERAL,PRIVADO,CORREGIDORA,EL PUEBLITO,,AVENIDA RIVERA DEL RÍO,101.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0282Q,BUCKINGHAM HIGH SCHOOL,BACHILLERATO GENERAL,PRIVADO,CORREGIDORA,EL PUEBLITO,EL FORTIN,PROLONGACIÓN CHABACANO,1.0,PRIVADO,SOCIEDAD CIVIL,,
22MMS0298R,COLEGIO CASTELLANO PREPARATORIA,BACHILLERATO GENERAL,PRIVADO,CORREGIDORA,EL PUEBLITO,CENTRO,PRIVADA FRAY SEBASTIAN DE GALLEGOS,2.0,PRIVADO,SOCIEDAD CIVIL,,
22MMS0155U,COLEGIO CELTA INTERNACIONAL,BACHILLERATO GENERAL,PRIVADO,CORREGIDORA,LOS OLVERA,LOS OLVERA,AVENIDA CAMINO REAL,19.0,PRIVADO,ASOCIACIÓN CIVIL,celta.edu.mx,Celta contact emails show @celta.edu.mx
22MMS0143P,COLEGIO FONTANAR,BACHILLERATO GENERAL,PRIVADO,CORREGIDORA,SAN FRANCISCO,VISTA REAL,CALLE CAMINO AL FRACC. VISTA REAL,119.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0258Q,COLEGIO MILITARIZADO NUEVO MEXICO CAMPUS QUERETARO,BACHILLERATO GENERAL,PRIVADO,CORREGIDORA,LOS OLVERA,LOS OLVERA,CALLE SHINDO,2.0,PRIVADO,ASOCIACIÓN CIVIL,,
